TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
NFIA	0.407	3.419e-01	3.460	0.763	0.188	2.973e-02
ZBTB7B	1.234	1.085e-01	0.601	0.749	0.188	2.973e-02
NR0B1	1.179	1.193e-01	0.833	0.743	0.188	3.008e-02
CTBP2	0.777	2.187e-01	0.109	0.842	0.189	3.060e-02
XBP1	0.777	2.185e-01	1.011	0.769	0.190	3.095e-02
OVOL3	1.229	1.095e-01	2.749	0.713	0.192	3.201e-02
TAFII	2.018	2.177e-02	-0.500	0.778	0.193	3.255e-02
MKL2	0.913	1.807e-01	0.917	0.751	0.194	3.273e-02
ETV7	1.067	1.431e-01	1.892	0.731	0.194	3.273e-02
JMJD6	1.534	6.247e-02	0.880	0.722	0.196	3.365e-02
RUVBL1	1.170	1.209e-01	0.688	0.742	0.196	3.403e-02
EHF	0.885	1.882e-01	1.152	0.747	0.198	3.497e-02
SREBF1	1.517	6.460e-02	0.232	0.741	0.201	3.651e-02
ELK1	3.048	1.151e-03	-0.899	0.789	0.202	3.711e-02
GRHL2	-0.151	5.602e-01	2.613	0.801	0.202	3.730e-02
GATAD1	1.424	7.719e-02	0.610	0.731	0.202	3.730e-02
SMARCA5	0.092	4.635e-01	1.250	0.803	0.205	3.892e-02
ZNF391	1.194	1.162e-01	1.120	0.725	0.207	3.974e-02
GTF2B	4.065	2.398e-05	-1.092	0.799	0.208	4.058e-02
OGT	2.555	5.304e-03	-0.806	0.780	0.209	4.100e-02
HOXA6	1.107	1.343e-01	0.793	0.736	0.209	4.121e-02
MAFB	1.243	1.069e-01	0.074	0.750	0.211	4.250e-02
ZNF610	1.493	6.766e-02	0.478	0.727	0.212	4.271e-02
ZNF71	1.245	1.066e-01	0.331	0.740	0.212	4.315e-02
ZNF574	0.977	1.643e-01	1.646	0.722	0.214	4.381e-02
ZBTB1	1.015	1.552e-01	1.537	0.721	0.215	4.493e-02
GATAD2B	1.014	1.554e-01	1.621	0.720	0.216	4.515e-02
KLF3	0.976	1.646e-01	1.369	0.722	0.218	4.675e-02
HAND2	0.845	1.990e-01	5.122	0.711	0.220	4.768e-02
ESR1	-0.386	6.504e-01	2.324	0.809	0.221	4.862e-02
ZNF264	0.924	1.779e-01	1.277	0.724	0.221	4.862e-02
ETS2	1.137	1.278e-01	1.243	0.715	0.221	4.886e-02
SETX	0.948	1.715e-01	1.478	0.720	0.222	4.910e-02
ETV5	1.023	1.532e-01	1.829	0.713	0.222	4.934e-02
ZNF260	0.911	1.811e-01	2.080	0.716	0.223	5.006e-02
RB1	1.786	3.705e-02	-0.412	0.750	0.224	5.030e-02
MYCN	2.214	1.342e-02	-1.167	0.806	0.224	5.055e-02
DPF1	0.842	1.998e-01	2.638	0.711	0.226	5.202e-02
ETV1	0.831	2.029e-01	-0.189	0.792	0.226	5.227e-02
INO80	1.775	3.794e-02	-1.096	0.804	0.228	5.327e-02
U2AF1	3.044	1.169e-03	-1.256	0.796	0.229	5.403e-02
E2F8	0.903	1.834e-01	1.576	0.715	0.232	5.609e-02
ICE2	0.831	2.030e-01	2.417	0.710	0.233	5.662e-02
ZNF324	1.212	1.127e-01	1.303	0.702	0.234	5.741e-02
POLR2M	1.129	1.295e-01	0.243	0.737	0.234	5.767e-02
ZSCAN5A	1.299	9.699e-02	0.293	0.723	0.239	6.120e-02
PTPN11	1.271	1.018e-01	-0.327	0.754	0.239	6.147e-02
E2F3	0.970	1.659e-01	0.749	0.721	0.240	6.203e-02
NR5A2	0.146	4.420e-01	2.290	0.745	0.240	6.231e-02
GLYR1	0.938	1.742e-01	0.908	0.719	0.242	6.344e-02
MED1	2.587	4.844e-03	-1.629	0.850	0.245	6.602e-02
GREB1	0.709	2.391e-01	2.219	0.713	0.245	6.631e-02
KAT8	1.284	9.949e-02	-0.603	0.765	0.246	6.690e-02
RFX2	1.113	1.328e-01	0.064	0.736	0.246	6.690e-02
USP49	0.792	2.141e-01	2.177	0.707	0.248	6.867e-02
NIPBL	0.323	3.733e-01	-0.071	0.810	0.249	6.957e-02
KDM3B	0.896	1.851e-01	2.172	0.698	0.249	6.957e-02
ZSCAN2	0.774	2.193e-01	2.352	0.705	0.249	6.957e-02
FOXD2	1.126	1.302e-01	-0.008	0.738	0.249	6.957e-02
EZH1	0.916	1.797e-01	-0.380	0.770	0.251	7.109e-02
HOXA4	0.913	1.807e-01	0.793	0.716	0.251	7.139e-02
BCAT1	0.801	2.117e-01	2.460	0.697	0.253	7.325e-02
HBP1	1.171	1.207e-01	0.156	0.722	0.255	7.482e-02
MTA3	0.554	2.899e-01	0.353	0.750	0.255	7.482e-02
TFDP1	1.794	3.641e-02	-1.272	0.779	0.258	7.770e-02
CPSF3L	2.098	1.795e-02	-1.379	0.781	0.261	7.999e-02
EMSY	1.564	5.888e-02	-1.383	0.798	0.261	7.999e-02
BARX2	1.449	7.366e-02	-1.083	0.777	0.261	8.032e-02
ZNF641	0.901	1.838e-01	1.138	0.704	0.262	8.099e-02
ZNF580	0.850	1.975e-01	1.924	0.693	0.263	8.165e-02
ZFAT	0.671	2.510e-01	2.440	0.698	0.264	8.300e-02
BCL11B	2.474	6.678e-03	-1.314	0.768	0.265	8.368e-02
SRF	0.621	2.672e-01	0.569	0.734	0.266	8.436e-02
TET1	1.187	1.176e-01	-0.459	0.744	0.266	8.436e-02
L3MBTL4	0.741	2.292e-01	1.684	0.703	0.267	8.540e-02
ESRRA	0.813	2.081e-01	3.019	0.686	0.268	8.678e-02
CBX6	0.608	2.715e-01	0.814	0.721	0.271	8.996e-02
EGLN2	0.625	2.660e-01	2.541	0.694	0.272	9.104e-02
ORC1	1.289	9.868e-02	-0.832	0.756	0.273	9.140e-02
ZNF143	1.804	3.563e-02	-1.401	0.777	0.274	9.285e-02
LANA	1.321	9.328e-02	0.027	0.708	0.275	9.322e-02
GTF3C5	0.810	2.089e-01	0.506	0.718	0.275	9.322e-02
ZNF783	1.084	1.391e-01	-0.196	0.733	0.275	9.359e-02
ZMIZ1	0.740	2.296e-01	0.592	0.719	0.275	9.395e-02
CCND2	0.795	2.132e-01	0.823	0.707	0.276	9.432e-02
ZNF592	0.914	1.804e-01	0.671	0.703	0.276	9.469e-02
SMC1A	-0.545	7.071e-01	1.523	0.769	0.277	9.543e-02
CAMTA2	0.647	2.587e-01	1.896	0.696	0.280	9.844e-02
SRSF3	1.908	2.817e-02	-1.362	0.767	0.280	9.920e-02
MNT	0.767	2.215e-01	-0.430	0.763	0.281	9.958e-02
E2F2	0.691	2.447e-01	1.257	0.699	0.281	9.996e-02
KDM4B	1.385	8.303e-02	-0.685	0.736	0.283	1.023e-01
CBX1	0.814	2.079e-01	0.506	0.711	0.284	1.027e-01
NELFE	4.592	2.194e-06	-2.321	0.814	0.286	1.050e-01
NR2C2	2.506	6.104e-03	-1.679	0.775	0.287	1.062e-01
ZNF687	1.025	1.527e-01	0.296	0.704	0.287	1.062e-01
RBL2	2.976	1.459e-03	-1.472	0.756	0.287	1.066e-01
ZSCAN22	1.894	2.910e-02	-1.474	0.768	0.289	1.090e-01
THAP1	1.141	1.270e-01	-0.636	0.739	0.290	1.095e-01
WDR5	1.074	1.413e-01	-1.495	0.827	0.290	1.099e-01
ZNF701	0.585	2.792e-01	2.132	0.692	0.290	1.099e-01
STAT2	1.129	1.294e-01	-1.120	0.773	0.290	1.103e-01
CDK7	1.365	8.613e-02	-1.400	0.780	0.291	1.107e-01
MECOM	0.584	2.798e-01	1.971	0.692	0.293	1.127e-01
GLI4	1.067	1.429e-01	0.067	0.706	0.293	1.132e-01
HDAC2	0.794	2.135e-01	-1.044	0.795	0.294	1.140e-01
CBX4	0.810	2.091e-01	0.394	0.708	0.294	1.140e-01
ZXDC	0.541	2.944e-01	2.592	0.689	0.295	1.153e-01
CREM	0.604	2.730e-01	1.195	0.697	0.295	1.161e-01
HDAC6	1.236	1.083e-01	-1.060	0.755	0.296	1.165e-01
XRN2	3.429	3.029e-04	-1.687	0.759	0.296	1.170e-01
SPDEF	0.682	2.476e-01	-0.060	0.734	0.297	1.182e-01
KLF13	1.349	8.867e-02	-0.800	0.733	0.301	1.230e-01
FOXK1	0.222	4.122e-01	0.182	0.742	0.302	1.235e-01
ZIC2	1.242	1.071e-01	-1.098	0.750	0.305	1.275e-01
RFX5	1.006	1.572e-01	-0.187	0.715	0.305	1.279e-01
ZNF518A	0.757	2.245e-01	0.653	0.695	0.307	1.297e-01
ZSCAN23	0.800	2.118e-01	0.467	0.698	0.307	1.307e-01
KLF7	1.099	1.359e-01	-0.166	0.707	0.308	1.316e-01
NCOR1	0.908	1.819e-01	-1.334	0.791	0.309	1.325e-01
ZNF639	1.377	8.422e-02	-0.926	0.727	0.312	1.372e-01
BRD4	3.153	8.076e-04	-3.049	0.881	0.313	1.377e-01
E2F4	2.684	3.637e-03	-2.181	0.779	0.313	1.377e-01
KRAB	1.213	1.126e-01	-0.489	0.713	0.313	1.386e-01
GATA2	-2.458	9.930e-01	2.928	0.843	0.315	1.405e-01
NRF1	4.819	7.220e-07	-2.516	0.787	0.315	1.410e-01
DNMT3B	0.201	4.205e-01	-0.459	0.770	0.316	1.420e-01
ZNF8	0.314	3.768e-01	1.019	0.704	0.317	1.429e-01
ZBTB14	0.941	1.734e-01	-0.388	0.719	0.317	1.434e-01
SETDB1	-0.425	6.648e-01	0.738	0.746	0.318	1.444e-01
ZNF346	0.893	1.858e-01	0.142	0.696	0.318	1.449e-01
YBX3	0.807	2.097e-01	0.062	0.704	0.318	1.454e-01
GABPA	3.104	9.550e-04	-2.996	0.816	0.320	1.469e-01
MECP2	1.161	1.229e-01	-0.777	0.724	0.321	1.484e-01
MYC	5.977	1.134e-09	-3.392	0.836	0.321	1.484e-01
ETS1	2.992	1.388e-03	-2.930	0.812	0.321	1.489e-01
ATF1	1.451	7.344e-02	-1.874	0.780	0.322	1.499e-01
NFYA	2.122	1.690e-02	-1.797	0.754	0.324	1.524e-01
CHD1	3.221	6.394e-04	-3.226	0.836	0.325	1.539e-01
PPARD	0.792	2.142e-01	-0.024	0.706	0.325	1.544e-01
DDX21	2.162	1.531e-02	-2.456	0.792	0.325	1.549e-01
RAC3	0.583	2.799e-01	0.700	0.692	0.326	1.555e-01
ZNF483	0.779	2.181e-01	-0.009	0.706	0.326	1.565e-01
CDK9	2.217	1.331e-02	-2.672	0.805	0.327	1.575e-01
FOXO3	0.401	3.441e-01	1.240	0.689	0.327	1.580e-01
DCP1A	2.008	2.234e-02	-2.357	0.785	0.328	1.586e-01
ZNF217	0.336	3.685e-01	2.868	0.675	0.329	1.596e-01
DLX2	0.374	3.540e-01	2.419	0.678	0.329	1.596e-01
POU3F2	0.845	1.992e-01	0.103	0.693	0.329	1.607e-01
MBOAT4	0.647	2.588e-01	0.316	0.696	0.331	1.633e-01
TSHZ1	0.533	2.971e-01	1.247	0.682	0.333	1.654e-01
YY1	3.775	7.985e-05	-3.033	0.793	0.334	1.671e-01
SIN3A	2.614	4.477e-03	-2.614	0.784	0.334	1.676e-01
POLR2A	24.263	2.440e-130	-8.284	0.848	0.336	1.709e-01
FAIRE	0.197	4.220e-01	-0.743	0.770	0.337	1.725e-01
RARA	0.155	4.385e-01	-0.104	0.738	0.338	1.731e-01
MBD2	0.351	3.628e-01	-0.741	0.763	0.338	1.736e-01
ASXL1	0.903	1.832e-01	-0.593	0.715	0.338	1.736e-01
ZNF101	0.054	4.784e-01	0.735	0.707	0.338	1.742e-01
PHF8	4.405	5.281e-06	-3.725	0.807	0.339	1.758e-01
ZNF792	0.819	2.064e-01	0.058	0.691	0.340	1.764e-01
THAP11	0.947	1.719e-01	-0.742	0.720	0.341	1.781e-01
AFF4	3.639	1.370e-04	-2.654	0.771	0.341	1.787e-01
RPE	2.608	4.555e-03	-2.907	0.784	0.343	1.821e-01
MCRS1	1.252	1.053e-01	-1.616	0.751	0.344	1.832e-01
ZNF100	0.645	2.596e-01	0.165	0.693	0.345	1.843e-01
NELFA	4.414	5.066e-06	-5.088	0.812	0.345	1.849e-01
ZNF501	0.825	2.046e-01	-0.093	0.694	0.345	1.849e-01
UBTF	1.362	8.659e-02	-1.584	0.746	0.345	1.849e-01
ZSCAN16	0.053	4.788e-01	1.049	0.697	0.345	1.849e-01
HHEX	0.263	3.961e-01	2.827	0.667	0.346	1.867e-01
ZNF18	0.756	2.249e-01	-0.498	0.718	0.347	1.872e-01
KLF12	1.133	1.287e-01	-1.309	0.738	0.347	1.878e-01
RBBP5	1.659	4.859e-02	-2.303	0.768	0.348	1.901e-01
BRD2	2.759	2.898e-03	-2.822	0.776	0.349	1.913e-01
ZNF547	0.554	2.897e-01	0.323	0.690	0.349	1.913e-01
TAF7	1.318	9.383e-02	-1.223	0.722	0.350	1.925e-01
ZNF558	0.314	3.766e-01	1.067	0.683	0.350	1.937e-01
ZNF343	0.886	1.878e-01	-0.672	0.714	0.351	1.943e-01
PCGF1	0.669	2.519e-01	-1.123	0.755	0.351	1.949e-01
PAF1	3.286	5.078e-04	-4.237	0.804	0.352	1.955e-01
KMT2D	2.588	4.826e-03	-3.480	0.798	0.352	1.967e-01
ZBTB11	2.067	1.936e-02	-2.959	0.785	0.353	1.973e-01
GMEB2	2.257	1.200e-02	-4.181	0.819	0.353	1.984e-01
COPS2	0.729	2.331e-01	-0.205	0.702	0.354	1.990e-01
ZNF528	0.415	3.389e-01	0.812	0.681	0.354	2.003e-01
TCF7	-0.246	5.970e-01	1.196	0.704	0.355	2.009e-01
ZNF430	0.297	3.834e-01	1.514	0.673	0.355	2.015e-01
POLR3A	0.046	4.816e-01	-0.296	0.740	0.356	2.021e-01
HMGN1	1.148	1.255e-01	-1.451	0.740	0.357	2.045e-01
KDM5B	0.367	3.567e-01	-0.589	0.734	0.359	2.082e-01
FOXJ2	0.685	2.467e-01	0.045	0.689	0.361	2.119e-01
LHX2	-0.476	6.831e-01	0.968	0.714	0.362	2.131e-01
SUMO1	-0.433	6.676e-01	1.759	0.699	0.362	2.138e-01
NR1H2	0.397	3.455e-01	0.895	0.674	0.362	2.138e-01
KLF15	1.051	1.467e-01	-1.846	0.767	0.363	2.150e-01
TET3	0.368	3.565e-01	-0.863	0.745	0.363	2.156e-01
SMAD5	1.761	3.911e-02	-2.576	0.767	0.363	2.156e-01
ZNF414	0.743	2.287e-01	-0.166	0.693	0.363	2.156e-01
XCL1	0.564	2.864e-01	0.063	0.690	0.364	2.163e-01
ZNF837	0.478	3.165e-01	-0.021	0.697	0.365	2.188e-01
FOXP3	1.121	1.312e-01	-1.091	0.715	0.366	2.194e-01
EMX1	0.553	2.900e-01	-0.653	0.723	0.367	2.213e-01
CHD7	-0.138	5.551e-01	-0.223	0.740	0.367	2.220e-01
ZNF76	0.992	1.605e-01	-1.742	0.756	0.368	2.232e-01
PPARGC1A	0.386	3.498e-01	0.626	0.678	0.369	2.252e-01
PHIP	1.172	1.205e-01	-1.566	0.738	0.369	2.252e-01
GPS2	0.534	2.968e-01	0.149	0.688	0.369	2.258e-01
MBD1	0.600	2.741e-01	0.046	0.688	0.370	2.277e-01
UHRF2	0.560	2.877e-01	-0.002	0.690	0.370	2.277e-01
FGFR1	1.053	1.462e-01	-1.651	0.746	0.371	2.290e-01
ZNF711	1.193	1.165e-01	-1.793	0.745	0.372	2.303e-01
MKL1	0.840	2.006e-01	-0.826	0.710	0.373	2.323e-01
SUPT5H	1.963	2.482e-02	-5.378	0.803	0.373	2.329e-01
SP140	-0.337	6.319e-01	0.497	0.714	0.374	2.342e-01
ZC3H8	0.387	3.494e-01	-0.201	0.703	0.376	2.375e-01
SAP30	2.062	1.962e-02	-3.345	0.773	0.377	2.395e-01
RBP2	1.605	5.423e-02	-8.121	0.811	0.377	2.395e-01
ELF1	1.975	2.415e-02	-5.185	0.797	0.377	2.402e-01
ETV4	0.423	3.360e-01	0.375	0.679	0.377	2.402e-01
ZNF146	0.203	4.195e-01	0.720	0.678	0.378	2.415e-01
PRDM2	0.789	2.150e-01	-0.483	0.694	0.378	2.422e-01
REPIN1	-0.584	7.204e-01	-0.967	0.822	0.379	2.428e-01
GATA3	-3.943	1.000e+00	2.787	0.769	0.379	2.442e-01
INSM2	0.646	2.591e-01	-0.074	0.685	0.380	2.448e-01
KLF5	0.543	2.934e-01	-0.561	0.709	0.380	2.462e-01
ICE1	0.420	3.374e-01	0.500	0.673	0.380	2.462e-01
ZXDB	0.740	2.296e-01	-0.254	0.688	0.382	2.495e-01
ZKSCAN1	0.374	3.543e-01	-0.053	0.693	0.382	2.502e-01
ZNF83	0.747	2.275e-01	-0.682	0.702	0.384	2.529e-01
CDK6	0.987	1.618e-01	-1.367	0.723	0.385	2.556e-01
KLF9	1.414	7.874e-02	-1.991	0.736	0.387	2.584e-01
ZBTB33	1.337	9.063e-02	-2.874	0.772	0.389	2.625e-01
MCM3	0.507	3.061e-01	0.025	0.682	0.389	2.625e-01
UBE2I	0.381	3.514e-01	0.279	0.678	0.389	2.632e-01
CHD8	-0.605	7.274e-01	-0.273	0.750	0.390	2.639e-01
CDK12	0.585	2.793e-01	-0.379	0.692	0.391	2.673e-01
FOXK2	0.553	2.903e-01	-0.531	0.699	0.393	2.694e-01
TGIF2	0.709	2.391e-01	-0.628	0.695	0.393	2.701e-01
ZNF35	0.135	4.461e-01	1.226	0.663	0.394	2.715e-01
KDM2B	0.342	3.664e-01	-1.427	0.765	0.395	2.743e-01
HEXIM1	0.564	2.864e-01	-0.977	0.719	0.397	2.771e-01
ZBTB40	0.518	3.021e-01	-0.762	0.711	0.397	2.778e-01
HOXA2	0.557	2.887e-01	-0.345	0.690	0.398	2.792e-01
DNMT3A	0.261	3.972e-01	-0.570	0.711	0.398	2.806e-01
AEBP2	0.227	4.100e-01	0.295	0.679	0.398	2.806e-01
FOXP1	-0.886	8.121e-01	-0.918	0.811	0.399	2.821e-01
NANOG	-4.315	1.000e+00	0.409	0.846	0.399	2.828e-01
POLR2B	1.418	7.803e-02	-3.805	0.778	0.400	2.835e-01
ZNF207	-0.131	5.520e-01	0.629	0.684	0.400	2.842e-01
GABP	0.850	1.978e-01	-1.246	0.711	0.400	2.849e-01
TAF3	1.223	1.107e-01	-2.350	0.748	0.400	2.849e-01
ZNF280D	0.507	3.060e-01	-0.010	0.678	0.401	2.856e-01
DRAP1	0.167	4.338e-01	0.732	0.664	0.402	2.878e-01
SPIN1	1.348	8.886e-02	-2.977	0.763	0.403	2.906e-01
ZNF697	-0.568	7.149e-01	0.323	0.709	0.405	2.950e-01
POU2F1	0.075	4.701e-01	1.142	0.658	0.406	2.957e-01
IRAK1	1.087	1.386e-01	-1.866	0.733	0.406	2.957e-01
ZNF189	0.659	2.549e-01	-0.782	0.697	0.406	2.964e-01
CENPC	-0.051	5.202e-01	2.148	0.650	0.407	2.986e-01
CHRM2	-0.308	6.210e-01	-0.706	0.743	0.408	3.000e-01
EGR1	1.047	1.476e-01	-2.452	0.755	0.409	3.029e-01
PATZ1	0.847	1.986e-01	-1.818	0.739	0.410	3.044e-01
FOXA2	-2.690	9.964e-01	2.495	0.738	0.411	3.051e-01
BRD9	-0.075	5.298e-01	0.099	0.690	0.411	3.059e-01
BPTF	0.691	2.449e-01	-0.934	0.699	0.411	3.059e-01
PRKDC	-0.458	6.764e-01	-0.596	0.742	0.411	3.066e-01
SP2	1.543	6.145e-02	-2.725	0.740	0.412	3.073e-01
GLI2	0.744	2.285e-01	-1.976	0.751	0.413	3.110e-01
TAF1	2.369	8.926e-03	-6.184	0.750	0.414	3.132e-01
ZNF44	0.151	4.400e-01	0.540	0.664	0.416	3.154e-01
NONO	-0.064	5.256e-01	0.631	0.670	0.416	3.169e-01
ZNF778	-0.060	5.240e-01	0.592	0.671	0.417	3.176e-01
DIDO1	0.665	2.532e-01	-0.760	0.689	0.419	3.221e-01
EHMT2	-1.955	9.747e-01	0.512	0.750	0.419	3.228e-01
IRAK4	1.099	1.359e-01	-2.177	0.735	0.421	3.258e-01
PHF2	1.700	4.454e-02	-3.893	0.748	0.421	3.273e-01
NR1H3	-0.047	5.185e-01	0.840	0.660	0.421	3.273e-01
ZFX	0.544	2.931e-01	-2.255	0.776	0.422	3.281e-01
ZNF800	-0.110	5.439e-01	1.615	0.649	0.422	3.281e-01
STAT5	-0.194	5.768e-01	-1.063	0.748	0.425	3.341e-01
GTF2E2	0.920	1.787e-01	-1.680	0.717	0.425	3.341e-01
LIN9	0.037	4.852e-01	0.809	0.656	0.425	3.348e-01
NFE2L2	-0.877	8.097e-01	-1.097	0.798	0.425	3.356e-01
DDX5	-0.349	6.365e-01	-0.785	0.739	0.426	3.364e-01
HINFP	0.312	3.775e-01	-1.827	0.765	0.426	3.379e-01
ZNF618	0.161	4.360e-01	0.303	0.664	0.426	3.379e-01
ZNF239	0.376	3.534e-01	-0.158	0.672	0.427	3.401e-01
AHR	-0.548	7.082e-01	2.304	0.661	0.428	3.424e-01
ZNF682	0.427	3.347e-01	-0.321	0.676	0.429	3.439e-01
BTAF1	0.075	4.703e-01	0.537	0.658	0.430	3.447e-01
KLF8	0.687	2.460e-01	-0.919	0.689	0.430	3.454e-01
HDAC1	1.036	1.502e-01	-3.923	0.777	0.431	3.470e-01
ZFP41	0.060	4.760e-01	0.430	0.662	0.431	3.470e-01
MBD4	0.047	4.812e-01	0.524	0.656	0.435	3.562e-01
FXR2	-0.008	5.034e-01	0.718	0.653	0.435	3.569e-01
DNMT1	0.189	4.252e-01	-0.077	0.672	0.436	3.577e-01
ESCO2	0.060	4.762e-01	0.464	0.657	0.437	3.600e-01
SP1	0.495	3.104e-01	-2.435	0.774	0.438	3.631e-01
HIF1A	-0.207	5.821e-01	0.041	0.686	0.440	3.669e-01
CDX2	-0.716	7.631e-01	1.901	0.665	0.440	3.669e-01
RYBP	0.196	4.223e-01	-0.275	0.678	0.440	3.669e-01
MCM7	-0.088	5.350e-01	-0.099	0.684	0.440	3.677e-01
ZNF2	-0.044	5.174e-01	-0.106	0.682	0.441	3.700e-01
